x, RHO_s, V_s, P_s, RHO_g, V_g, P_g, PHI_s
-4.987500e-01,1.000000e+00,5.106668e-77,1.000000e+00,2.000000e-01,-8.216649e-42,3.000000e-01,8.000000e-01
-4.962500e-01,1.000000e+00,7.756033e-76,1.000000e+00,2.000000e-01,-1.990591e-40,3.000000e-01,8.000000e-01
-4.937500e-01,1.000000e+00,1.318279e-74,1.000000e+00,2.000000e-01,-5.259788e-39,3.000000e-01,8.000000e-01
-4.912500e-01,1.000000e+00,2.228856e-73,1.000000e+00,2.000000e-01,-1.403576e-37,3.000000e-01,8.000000e-01
-4.887500e-01,1.000000e+00,3.758305e-72,1.000000e+00,2.000000e-01,-3.801640e-36,3.000000e-01,8.000000e-01
-4.862500e-01,1.000000e+00,6.322392e-71,1.000000e+00,2.000000e-01,-1.053228e-34,3.000000e-01,8.000000e-01
-4.837500e-01,1.000000e+00,1.061356e-69,1.000000e+00,2.000000e-01,-2.988561e-33,3.000000e-01,8.000000e-01
-4.812500e-01,1.000000e+00,1.778345e-68,1.000000e+00,2.000000e-01,-8.550606e-32,3.000000e-01,8.000000e-01
-4.787500e-01,1.000000e+00,2.974333e-67,1.000000e+00,2.000000e-01,-2.402081e-30,3.000000e-01,8.000000e-01
-4.762500e-01,1.000000e+00,4.965621e-66,1.000000e+00,2.000000e-01,-6.471039e-29,3.000000e-01,8.000000e-01
-4.737500e-01,1.000000e+00,8.273775e-65,1.000000e+00,2.000000e-01,-1.653011e-27,3.000000e-01,8.000000e-01
-4.712500e-01,1.000000e+00,1.375510e-63,1.000000e+00,2.000000e-01,-4.012590e-26,3.000000e-01,8.000000e-01
-4.687500e-01,1.000000e+00,2.280856e-62,1.000000e+00,2.000000e-01,-9.902329e-25,3.000000e-01,8.000000e-01
-4.662500e-01,1.000000e+00,3.770761e-61,1.000000e+00,2.000000e-01,-2.563036e-23,3.000000e-01,8.000000e-01
-4.637500e-01,1.000000e+00,6.212721e-60,1.000000e+00,2.000000e-01,-7.592254e-22,3.000000e-01,8.000000e-01
-4.612500e-01,1.000000e+00,1.019779e-58,1.000000e+00,2.000000e-01,-2.230960e-20,3.000000e-01,8.000000e-01
-4.587500e-01,1.000000e+00,1.667231e-57,1.000000e+00,2.000000e-01,-5.921594e-19,3.000000e-01,8.000000e-01
-4.562500e-01,1.000000e+00,2.714569e-56,1.000000e+00,2.000000e-01,-1.111924e-17,3.000000e-01,8.000000e-01
-4.537500e-01,1.000000e+00,4.401752e-55,1.000000e+00,2.000000e-01,-1.599320e-16,3.000000e-01,8.000000e-01
